Time,Track Name_lead,Geometry_lead,Latitude_lead,Longitude_lead,Elevation_lead,Ortho Height_lead,Instrument Ht_lead,Fix ID_lead,Speed_lead,Bearing_lead,Horizontal Accuracy_lead,Vertical Accuracy_lead,PDOP_lead,HDOP_lead,VDOP_lead,Satellites in View_lead,Satellites in Use_lead,Track Name_follow,Geometry_follow,Latitude_follow,Longitude_follow,Elevation_follow,Ortho Height_follow,Instrument Ht_follow,Fix ID_follow,Speed_follow,Bearing_follow,Horizontal Accuracy_follow,Vertical Accuracy_follow,PDOP_follow,HDOP_follow,VDOP_follow,Satellites in View_follow,Satellites in Use_follow,Latitude_lead_smoothed,Longitude_lead_smoothed,Speed_lead_smoothed,Latitude_follow_smoothed,Longitude_follow_smoothed,Speed_follow_smoothed
2025-06-10 22:43:09-05:00,Track 3,POINTZ(-89.445412201 43.015494106 276.3992),43.015494106,-89.445412201,276.3992,0.0,0.0,1.0,17.7452,89.4,1.966,2.497,1.1,0.6,0.9,26.0,26.0,Track 3,POINTZ(-89.445777065 43.015487296 277.0157),43.015487296,-89.445777065,277.0157,0,0,9901,18.3471,89.1,0,0,999,999,999,0,0,43.0154946384,-89.44536874299999,17.73144,43.015487774,-89.445732101,18.336019999999998
2025-06-10 22:43:09.100000-05:00,,,43.0154943722,-89.445390472,,,,,17.73832,,,,,,,,,Track 3,POINTZ(-89.445754558 43.015487535 276.9418),43.015487535,-89.445754558,276.9418,0,0,9901,18.3425,89.2,0,0,999,999,999,0,0,43.015494771499995,-89.44535787849999,17.727999999999998,43.015487893666666,-89.445720855,18.3395
2025-06-10 22:43:09.200000-05:00,,,43.0154946384,-89.445368743,,,,,17.73144,,,,,,,,,Track 3,POINTZ(-89.445732125 43.015487761 276.8666),43.015487761,-89.445732125,276.8666,0,0,9901,18.3435,89.2,0,0,999,999,999,0,0,43.0154949088,-89.44534702117143,17.723294285714285,43.015488006,-89.44570961342858,18.34
2025-06-10 22:43:09.300000-05:00,,,43.0154949046,-89.44534701399999,,,,,17.72456,,,,,,,,,Track 3,POINTZ(-89.445709636 43.015488011 276.7916),43.015488011,-89.445709636,276.7916,0,0,9901,18.3307,89.2,0,0,999,999,999,0,0,43.015495048725,-89.445336168325,17.7177975,43.01548811375,-89.44569836725,18.336775
2025-06-10 22:43:09.400000-05:00,,,43.0154951708,-89.445325285,,,,,17.717679999999998,,,,,,,,,Track 3,POINTZ(-89.445687121 43.015488267 276.7232),43.015488267,-89.445687121,276.7232,0,0,9901,18.3163,89.2,0,0,999,999,999,0,0,43.0154951904,-89.44532531846667,17.711773333333333,43.01548822155556,-89.44568712533334,18.333922222222224
2025-06-10 22:43:09.500000-05:00,Track 3,POINTZ(-89.445303556 43.015495437 276.243),43.015495437,-89.445303556,276.243,0.0,0.0,1.0,17.7108,88.9,1.92,2.515,1.1,0.6,0.9,26.0,26.0,Track 3,POINTZ(-89.445664625 43.015488492 276.655),43.015488492,-89.445664625,276.655,0,0,9901,18.3569,89.0,0,0,999,999,999,0,0,43.015495333299995,-89.4453144707,17.705379999999998,43.015488333600004,-89.4456758861,18.33108
2025-06-10 22:43:09.600000-05:00,,,43.0154957326,-89.4452818772,,,,,17.695059999999998,,,,,,,,,Track 3,POINTZ(-89.445642164 43.01548868 276.5908),43.01548868,-89.445642164,276.5908,0,0,9901,18.343,89.2,0,0,999,999,999,0,0,43.0154956142,-89.44529276680001,17.69407,43.0154885612,-89.44565341490001,18.32697
2025-06-10 22:43:09.700000-05:00,,,43.0154960282,-89.4452601984,,,,,17.67932,,,,,,,,,Track 3,POINTZ(-89.445619644 43.015488868 276.5359),43.015488868,-89.445619644,276.5359,0,0,9901,18.3142,89.3,0,0,999,999,999,0,0,43.015495902699996,-89.44527107498,17.680864,43.015488791,-89.4456309488,18.32162
2025-06-10 22:43:09.800000-05:00,,,43.0154963238,-89.4452385196,,,,,17.66358,,,,,,,,,Track 3,POINTZ(-89.44559719 43.015489084 276.4723),43.015489084,-89.44559719,276.4723,0,0,9901,18.3111,89.3,0,0,999,999,999,0,0,43.0154961988,-89.44524939524,17.665762,43.0154890218,-89.4456084826,18.31489
2025-06-10 22:43:09.900000-05:00,,,43.0154966194,-89.4452168408,,,,,17.647840000000002,,,,,,,,,Track 3,POINTZ(-89.445574733 43.015489342 276.4155),43.015489342,-89.445574733,276.4155,0,0,9901,18.3055,89.3,0,0,999,999,999,0,0,43.0154965025,-89.44522772758,17.648764000000003,43.0154892548,-89.44558602570001,18.30815
2025-06-10 22:43:10-05:00,Track 3,POINTZ(-89.445195162 43.015496915 276.0697),43.015496915,-89.445195162,276.0697,0.0,0.0,1.0,17.6321,89.4,1.976,2.516,1.1,0.6,0.9,26.0,26.0,Track 3,POINTZ(-89.445552353 43.015489572 276.3457),43.015489572,-89.445552353,276.3457,0,0,9901,18.306,89.2,0,0,999,999,999,0,0,43.0154968138,-89.445206072,17.629870000000004,43.0154894886,-89.4455635839,18.30161
2025-06-10 22:43:10.100000-05:00,,,43.0154972572,-89.4451735538,,,,,17.606260000000002,,,,,,,,,Track 3,POINTZ(-89.445529897 43.015489833 276.2945),43.015489833,-89.445529897,276.2945,0,0,9901,18.289,89.1,0,0,999,999,999,0,0,43.0154971327,-89.4451844285,17.60908,43.0154897253,-89.4455411531,18.290039999999998
2025-06-10 22:43:10.200000-05:00,,,43.0154975994,-89.4451519456,,,,,17.58042,,,,,,,,,Track 3,POINTZ(-89.445507463 43.015490069 276.2239),43.015490069,-89.445507463,276.2239,0,0,9901,18.2762,89.0,0,0,999,999,999,0,0,43.01549746266,-89.44516278268,17.586686,43.0154899734,-89.4455187327,18.27945
2025-06-10 22:43:10.300000-05:00,,,43.0154979416,-89.4451303374,,,,,17.55458,,,,,,,,,Track 3,POINTZ(-89.445485067 43.015490341 276.1639),43.015490341,-89.445485067,276.1639,0,0,9901,18.2633,89.0,0,0,999,999,999,0,0,43.01549780368,-89.44514113454001,17.562688,43.0154902236,-89.44549632840001,18.27271
