Track Name,Time,Geometry,Latitude,Longitude,Elevation,Ortho Height,Instrument Ht,Fix ID,Speed,Bearing,Horizontal Accuracy,Vertical Accuracy,PDOP,HDOP,VDOP,Satellites in View,Satellites in Use,Latitude_Smoothed,Longitude_Smoothed,Speed_Smoothed
Track 5,15-05-2025 22:44:05.300 -0500,POINTZ(-89.441643841 43.015540318 268.8969),43.015540318,-89.441643841,268.8969,0,0,1,11.1424,89.5,0,0,999,999,999,0,0,43.0155405692,-89.4416169672,11.14894
Track 5,15-05-2025 22:44:05.400 -0500,POINTZ(-89.44163038 43.015540446 268.8847),43.015540446,-89.44163038,268.8847,0,0,1,11.1089,89.2,0,0,999,999,999,0,0,43.015540623,-89.44161020333333,11.142433333333335
Track 5,15-05-2025 22:44:05.500 -0500,POINTZ(-89.441616984 43.015540543 268.8794),43.015540543,-89.441616984,268.8794,0,0,1,11.1573,89.2,0,0,999,999,999,0,0,43.015540663,-89.441603439,11.138900000000001
Track 5,15-05-2025 22:44:05.600 -0500,POINTZ(-89.441603539 43.015540662 268.8831),43.015540662,-89.441603539,268.8831,0,0,1,11.1557,88.7,0,0,999,999,999,0,0,43.015540702,-89.44159664737501,11.137012499999999
Track 5,15-05-2025 22:44:05.700 -0500,POINTZ(-89.441590092 43.015540877 268.884),43.015540877,-89.441590092,268.884,0,0,1,11.1804,89.1,0,0,999,999,999,0,0,43.01554074655556,-89.44158983599999,11.138122222222222
Track 5,15-05-2025 22:44:05.800 -0500,POINTZ(-89.441576384 43.015540892 268.8639),43.015540892,-89.441576384,268.8639,0,0,1,11.1099,89.8,0,0,999,999,999,0,0,43.015540786399995,-89.4415830069,11.13875
Track 5,15-05-2025 22:44:05.900 -0500,POINTZ(-89.441562853 43.015540903 268.8489),43.015540903,-89.441562853,268.8489,0,0,1,11.1177,89.9,0,0,999,999,999,0,0,43.0155408758,-89.4415693916,11.13674
Track 5,15-05-2025 22:44:06.000 -0500,POINTZ(-89.441549106 43.015540975 268.8263),43.015540975,-89.441549106,268.8263,0,0,1,11.1238,89.5,0,0,999,999,999,0,0,43.015540961,-89.44155573340001,11.13787
Track 5,15-05-2025 22:44:06.100 -0500,POINTZ(-89.441535345 43.015541103 268.8055),43.015541103,-89.441535345,268.8055,0,0,1,11.147,89.5,0,0,999,999,999,0,0,43.015541045,-89.44154205070001,11.131539999999998
Track 5,15-05-2025 22:44:06.200 -0500,POINTZ(-89.441521545 43.015541145 268.7867),43.015541145,-89.441521545,268.7867,0,0,1,11.1444,89.4,0,0,999,999,999,0,0,43.015541127300004,-89.441528345,11.125269999999999
Track 5,15-05-2025 22:44:06.300 -0500,POINTZ(-89.441507688 43.015541212 268.7713),43.015541212,-89.441507688,268.7713,0,0,1,11.1223,89.0,0,0,999,999,999,0,0,43.0155411887,-89.44151460309999,11.11946
Track 5,15-05-2025 22:44:06.400 -0500,POINTZ(-89.441493798 43.015541298 268.7612),43.015541298,-89.441493798,268.7612,0,0,1,11.1202,89.0,0,0,999,999,999,0,0,43.0155412425,-89.44150086020001,11.119769999999999
Track 5,15-05-2025 22:44:06.500 -0500,POINTZ(-89.441480157 43.015541383 268.7489),43.015541383,-89.441480157,268.7489,0,0,1,11.094,89.1,0,0,999,999,999,0,0,43.015541298200006,-89.4414870899,11.119559999999998
Track 5,15-05-2025 22:44:06.600 -0500,POINTZ(-89.441466482 43.015541485 268.7224),43.015541485,-89.441466482,268.7224,0,0,1,11.093,89.3,0,0,999,999,999,0,0,43.0155413675,-89.44147335339999,11.11473
Track 5,15-05-2025 22:44:06.700 -0500,POINTZ(-89.441452673 43.015541491 268.7222),43.015541491,-89.441452673,268.7222,0,0,1,11.1223,89.7,0,0,999,999,999,0,0,43.0155414291,-89.4414596348,11.109219999999999
Track 5,15-05-2025 22:44:06.800 -0500,POINTZ(-89.441438955 43.01554143 268.7138),43.01554143,-89.441438955,268.7138,0,0,1,11.113,89.6,0,0,999,999,999,0,0,43.015541491600004,-89.44144592490001,11.102219999999999
Track 5,15-05-2025 22:44:06.900 -0500,POINTZ(-89.44142515 43.01554146 268.7085),43.01554146,-89.44142515,268.7085,0,0,1,11.1156,89.1,0,0,999,999,999,0,0,43.0155415496,-89.44143223009999,11.094809999999999
Track 5,15-05-2025 22:44:07.000 -0500,POINTZ(-89.441411741 43.015541668 268.6753),43.015541668,-89.441411741,268.6753,0,0,1,11.0755,88.9,0,0,999,999,999,0,0,43.015541598599995,-89.4414185469,11.08643
Track 5,15-05-2025 22:44:07.100 -0500,POINTZ(-89.441398159 43.015541719 268.648),43.015541719,-89.441398159,268.648,0,0,1,11.0919,89.6,0,0,999,999,999,0,0,43.0155416379,-89.441404836,11.08211
